evidence_id,milestone,domain,artefact_type,relative_path,title,description,row_count,file_size,sha256,source_manifest,source_lineage,validation_target,portfolio_relevance,interview_relevance,synthetic_data_flag,deployment_status
EVID-0067,Cross-milestone,dashboard,markdown,docs/dashboard/power-bi-ready-boundaries.md,Power Bi Ready Boundaries,Tracked portfolio evidence for dashboard.,,397,c322256541efc632d51d19a362b9dd75c8205a869009f734710f3c7631ce93f5,outputs/dashboard/dashboard-manifest.json,outputs/dashboard/lineage-records.json,make validate-dashboard,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0068,Cross-milestone,dashboard,markdown,docs/dashboard/semantic-model.md,Semantic Model,Tracked portfolio evidence for dashboard.,,368,af0cef9cc2c136583be33bc054725c0a603508d49fc9632bceab1c492a4e9398,outputs/dashboard/dashboard-manifest.json,outputs/dashboard/lineage-records.json,make validate-dashboard,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0069,Cross-milestone,dashboard,markdown,docs/dashboard/visual-specifications.md,Visual Specifications,Tracked portfolio evidence for dashboard.,,309,9743e09233efc525e22be9d946ae17ff042a0a6fa8bf6da312deb8277eef29cc,outputs/dashboard/dashboard-manifest.json,outputs/dashboard/lineage-records.json,make validate-dashboard,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0070,Cross-milestone,portfolio,markdown,docs/engineering/data-contracts.md,Data Contracts,Tracked portfolio evidence for portfolio.,,12713,af60d7abce2d8d7cddaf7579ae20e76805febb2f2fded469b22c20d8690f632e,data/raw/generation_manifest.json,data/raw/generation_manifest.json,make quality,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0071,Cross-milestone,portfolio,markdown,docs/engineering/development-standards.md,Development Standards,Tracked portfolio evidence for portfolio.,,849,446e2e0e4531231c7d106609d7d70f5844915afdd039139a031b59b24de5fb7f,data/raw/generation_manifest.json,data/raw/generation_manifest.json,make quality,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0072,Cross-milestone,portfolio,markdown,docs/engineering/testing-strategy.md,Testing Strategy,Tracked portfolio evidence for portfolio.,,8260,4ff58bf953de2881903f300d3456b18846b9ba79b7953517d13df80b58e774b3,data/raw/generation_manifest.json,data/raw/generation_manifest.json,make quality,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0073,Cross-milestone,forecasting,markdown,docs/forecasting/backtesting-and-model-selection.md,Backtesting And Model Selection,Tracked portfolio evidence for forecasting.,,555,cbdc3eaf1127cc55363dab9c1f4badce59c2a7617939df055a5321620c7bd040,outputs/forecasting/forecast-manifest.json,outputs/forecasting/lineage-records.json,make validate-forecast,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0074,Cross-milestone,forecasting,markdown,docs/forecasting/chronological-splitting.md,Chronological Splitting,Tracked portfolio evidence for forecasting.,,344,02a186bbecee3db85a67c11cf60e15f56d82a2ef49566eadac72a8a89312e949,outputs/forecasting/forecast-manifest.json,outputs/forecasting/lineage-records.json,make validate-forecast,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0075,Cross-milestone,forecasting,markdown,docs/forecasting/demand-series-and-grain.md,Demand Series And Grain,Tracked portfolio evidence for forecasting.,,609,bfa7e0e796b08be5dccc584387bbf689fb2f035b7ba5e487c74786b165376214,outputs/forecasting/forecast-manifest.json,outputs/forecasting/lineage-records.json,make validate-forecast,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0076,Cross-milestone,forecasting,markdown,docs/forecasting/evaluation-metrics.md,Evaluation Metrics,Tracked portfolio evidence for forecasting.,,347,dacc7c35ff96e8db5763c61a748cbf211ab1e99ed22baceb6a5cb1e0b0c11a95,outputs/forecasting/forecast-manifest.json,outputs/forecasting/lineage-records.json,make validate-forecast,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0077,Cross-milestone,forecasting,markdown,docs/forecasting/forecast-lineage-and-manifest.md,Forecast Lineage And Manifest,Tracked portfolio evidence for forecasting.,,741,ddb52d360609b7868f866cc19f919c3664ab4aa4d349441897bb7fc375a80126,outputs/forecasting/forecast-manifest.json,outputs/forecasting/lineage-records.json,make validate-forecast,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0078,Cross-milestone,forecasting,markdown,docs/forecasting/forecasting-design.md,Forecasting Design,Tracked portfolio evidence for forecasting.,,920,137aa0d30d3dfe6c523d6c605aa69f1a4cb85420efdfc31013bd59966c83497f,outputs/forecasting/forecast-manifest.json,outputs/forecasting/lineage-records.json,make validate-forecast,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0079,Cross-milestone,forecasting,markdown,docs/forecasting/leakage-prevention.md,Leakage Prevention,Tracked portfolio evidence for forecasting.,,481,31cd21fe29009fea83c4d987ae00be866ef52f0d985d2b966546056a32974729,outputs/forecasting/forecast-manifest.json,outputs/forecasting/lineage-records.json,make validate-forecast,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0080,Cross-milestone,forecasting,markdown,docs/forecasting/limitations.md,Limitations,Tracked portfolio evidence for forecasting.,,814,d3ad07b11d13aa266365996f48ee581ecf816ad0f3c0dfb3994312fb2910fde0,outputs/forecasting/forecast-manifest.json,outputs/forecasting/lineage-records.json,make validate-forecast,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0081,Cross-milestone,forecasting,markdown,docs/forecasting/prediction-intervals.md,Prediction Intervals,Tracked portfolio evidence for forecasting.,,396,0133569dcb68f18f07d9ea9808c8f7e7996e0a29f0cc51bfc59fa8344331237f,outputs/forecasting/forecast-manifest.json,outputs/forecasting/lineage-records.json,make validate-forecast,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0082,Cross-milestone,genai,markdown,docs/genai/assistant-evaluation.md,Assistant Evaluation,Tracked portfolio evidence for genai.,,509,dfb470a4b09e1dad5293db74057b59dc7db3d982ddc0eba1c2f650028192ae6f,outputs/genai/genai-manifest.json,outputs/genai/lineage-records.json,make validate-genai,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0083,Cross-milestone,genai,markdown,docs/genai/deterministic-response-synthesis.md,Deterministic Response Synthesis,Tracked portfolio evidence for genai.,,536,54322f040d388ea5ec78a20845a905b53d8f8aeffc0175215042ac5d1da7a21c,outputs/genai/genai-manifest.json,outputs/genai/lineage-records.json,make validate-genai,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0084,Cross-milestone,genai,markdown,docs/genai/genai-lineage-and-manifest.md,Genai Lineage And Manifest,Tracked portfolio evidence for genai.,,732,aacd70b86f57fd41b047e29163a7e91adb774e46abbbb22f4691f9e1519e1ecf,outputs/genai/genai-manifest.json,outputs/genai/lineage-records.json,make validate-genai,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0085,Cross-milestone,genai,markdown,docs/genai/genai-operations-assistant-design.md,Genai Operations Assistant Design,Tracked portfolio evidence for genai.,,863,c06903555e12311f07745518ed109aea7eadbf7c1b2ce837489650b4af7c6307,outputs/genai/genai-manifest.json,outputs/genai/lineage-records.json,make validate-genai,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0086,Cross-milestone,genai,markdown,docs/genai/governed-evidence-catalogue.md,Governed Evidence Catalogue,Tracked portfolio evidence for genai.,,666,53ba13980efd36c04984932442235939fa8bb6290ab82ae4871471e0a008e11e,outputs/genai/genai-manifest.json,outputs/genai/lineage-records.json,make validate-genai,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0087,Cross-milestone,genai,markdown,docs/genai/guardrails.md,Guardrails,Tracked portfolio evidence for genai.,,582,a180bdbdbecefd7577c35f01908ff749688c90bdec7d5e9d6861dc63721d4fe8,outputs/genai/genai-manifest.json,outputs/genai/lineage-records.json,make validate-genai,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0088,Cross-milestone,genai,markdown,docs/genai/limitations.md,Limitations,Tracked portfolio evidence for genai.,,360,6cdec342a74f635a38563cc98da0d253af951f022e33231f0eaa4c195612fe2e,outputs/genai/genai-manifest.json,outputs/genai/lineage-records.json,make validate-genai,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0089,Cross-milestone,genai,markdown,docs/genai/responsible-use-boundaries.md,Responsible Use Boundaries,Tracked portfolio evidence for genai.,,573,c7f51cf50a8eca627205d46ffc2a458ab15aca239e07dc9cc3d108fdbcec3338,outputs/genai/genai-manifest.json,outputs/genai/lineage-records.json,make validate-genai,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0090,Cross-milestone,genai,markdown,docs/genai/retrieval-and-prompting.md,Retrieval And Prompting,Tracked portfolio evidence for genai.,,638,e9d9d11128e3a0c5d2802773edc91262d3eeef8ff0874b3c31a7c58e2d731ec7,outputs/genai/genai-manifest.json,outputs/genai/lineage-records.json,make validate-genai,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0091,Cross-milestone,quality,markdown,docs/ingestion/data-quality-metrics.md,Data Quality Metrics,Tracked portfolio evidence for quality.,,1029,ef6d6f6a398d04720146b7c0f92c10b1639b061ba3a68536c2daaa09e4c23499,outputs/quality/quality-manifest.json,outputs/quality/lineage-records.json,make validate-quality-analytics,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0092,Cross-milestone,ingestion,markdown,docs/ingestion/ingestion-design.md,Ingestion Design,Tracked portfolio evidence for ingestion.,,1723,42ac68566a56ec821096b3088a022f91ea876f90823d58c7ef5bd6093c880893,data/interim/_metadata/ingestion-manifest.json,data/interim/_metadata/lineage-records.json,make validate-ingestion,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0093,Cross-milestone,ingestion,markdown,docs/ingestion/lineage-and-manifests.md,Lineage And Manifests,Tracked portfolio evidence for ingestion.,,1222,76a9967a64bc3ceea3f081d68855a05353f92c0169296e217cd1575321cd9dbc,data/interim/_metadata/ingestion-manifest.json,data/interim/_metadata/lineage-records.json,make validate-ingestion,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0094,Cross-milestone,ingestion,markdown,docs/ingestion/quarantine-design.md,Quarantine Design,Tracked portfolio evidence for ingestion.,,1156,5d0f5b3ab8221eddb7ea56bee500a5f8ae2f84df3b1f97be5c2120d687999215,data/interim/_metadata/ingestion-manifest.json,data/interim/_metadata/lineage-records.json,make validate-ingestion,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0095,Cross-milestone,ingestion,markdown,docs/ingestion/strict-vs-permissive-mode.md,Strict Vs Permissive Mode,Tracked portfolio evidence for ingestion.,,908,0245f865b91e9f53aba5d91b2cc000515b5f8b032f1fd5a80762415b36134a06,data/interim/_metadata/ingestion-manifest.json,data/interim/_metadata/lineage-records.json,make validate-ingestion,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0096,Cross-milestone,ingestion,markdown,docs/ingestion/validation-rules.md,Validation Rules,Tracked portfolio evidence for ingestion.,,2016,523d18aae02a533d50565833247c2a220931af6ba3697f19b01706a7f4e280fa,data/interim/_metadata/ingestion-manifest.json,data/interim/_metadata/lineage-records.json,make validate-ingestion,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0097,Cross-milestone,inventory,markdown,docs/inventory/constrained-allocation.md,Constrained Allocation,Tracked portfolio evidence for inventory.,,967,297d656c2fd41e2a4c104f2402fba491ba84f8421a3f61612d91f9a7f0867e7b,outputs/inventory/inventory-manifest.json,outputs/inventory/lineage-records.json,make validate-inventory,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0098,Cross-milestone,inventory,markdown,docs/inventory/demand-allocation.md,Demand Allocation,Tracked portfolio evidence for inventory.,,1055,50fa5c566b30e7769359d46257158e6a15de40e16a69d2cd2ae82cad4c6e0521,outputs/inventory/inventory-manifest.json,outputs/inventory/lineage-records.json,make validate-inventory,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0099,Cross-milestone,inventory,markdown,docs/inventory/governed-inputs-and-grain.md,Governed Inputs And Grain,Tracked portfolio evidence for inventory.,,1199,5ff9829370a9ebd90a8a46d998dfba1b59c28135dfdd30f4df6c0c0bba1735eb,outputs/inventory/inventory-manifest.json,outputs/inventory/lineage-records.json,make validate-inventory,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0100,Cross-milestone,inventory,markdown,docs/inventory/inventory-design.md,Inventory Design,Tracked portfolio evidence for inventory.,,911,2a18fd735475ac27f0b4292f2301c9902e9924447aa1a47e8163c89b27eebc05,outputs/inventory/inventory-manifest.json,outputs/inventory/lineage-records.json,make validate-inventory,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0101,Cross-milestone,inventory,markdown,docs/inventory/inventory-intelligence-design.md,Inventory Intelligence Design,Tracked portfolio evidence for inventory.,,1383,1a4a2f85b9cc772125007605ab779c6ae4ac24d32e817831b354e2fcb166bfbd,outputs/inventory/inventory-manifest.json,outputs/inventory/lineage-records.json,make validate-inventory,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0102,Cross-milestone,inventory,markdown,docs/inventory/inventory-lineage-and-manifest.md,Inventory Lineage And Manifest,Tracked portfolio evidence for inventory.,,1112,ef71bfd1cca0cbeded81ea1ceea911e3acf2d6e70dfcfc9687681399fcfabe82,outputs/inventory/inventory-manifest.json,outputs/inventory/lineage-records.json,make validate-inventory,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0103,Cross-milestone,inventory,markdown,docs/inventory/inventory-risk-scoring.md,Inventory Risk Scoring,Tracked portfolio evidence for inventory.,,1093,9defcb25203d3f00ac9a37de61988d2bb83a9d345942fe45f6cd497eb7af93b5,outputs/inventory/inventory-manifest.json,outputs/inventory/lineage-records.json,make validate-inventory,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0104,Cross-milestone,inventory,markdown,docs/inventory/limitations.md,Limitations,Tracked portfolio evidence for inventory.,,1293,609fa810e6ed1bc88f068dbfcb7ca77e823c2d1742ead3bcd6f42836984fa520,outputs/inventory/inventory-manifest.json,outputs/inventory/lineage-records.json,make validate-inventory,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0105,Cross-milestone,inventory,markdown,docs/inventory/outputs-and-lineage.md,Outputs And Lineage,Tracked portfolio evidence for inventory.,,1124,06c5adacf9ac6d75a4f0a32d00067d04edc21371a985f3051840492d15715994,outputs/inventory/inventory-manifest.json,outputs/inventory/lineage-records.json,make validate-inventory,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0106,Cross-milestone,inventory,markdown,docs/inventory/policy-assumptions.md,Policy Assumptions,Tracked portfolio evidence for inventory.,,1002,e25e8dd8398022aa93059af8215d6e6e8c81d1367a4deaaae0fe1ad4eec8cd3c,outputs/inventory/inventory-manifest.json,outputs/inventory/lineage-records.json,make validate-inventory,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0107,Cross-milestone,inventory,markdown,docs/inventory/safety-stock-and-reorder-policy.md,Safety Stock And Reorder Policy,Tracked portfolio evidence for inventory.,,998,d13ebe19f9df75b42e458c72002e58c53393b924b5c2b2fd8bc5c20cdcdf8e68,outputs/inventory/inventory-manifest.json,outputs/inventory/lineage-records.json,make validate-inventory,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0108,Cross-milestone,inventory,markdown,docs/inventory/scenario-analysis.md,Scenario Analysis,Tracked portfolio evidence for inventory.,,824,dd15358339d0128ef16cd8ada6bd97069063dec0ea044b583cd070191cccdb49,outputs/inventory/inventory-manifest.json,outputs/inventory/lineage-records.json,make validate-inventory,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0109,Cross-milestone,maintenance,markdown,docs/maintenance/anomaly-detection.md,Anomaly Detection,Tracked portfolio evidence for maintenance.,,694,8fe6b967c30fc727cb061a4d5dd70c0c744a83c9fc28ecdca48622a3ef2cac55,outputs/maintenance/maintenance-manifest.json,outputs/maintenance/lineage-records.json,make validate-maintenance,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0110,Cross-milestone,maintenance,markdown,docs/maintenance/degradation-analysis.md,Degradation Analysis,Tracked portfolio evidence for maintenance.,,721,60d7010c2d0b63f9c86ff23469076022ec1f9799a972f106053949ef6a0d60e1,outputs/maintenance/maintenance-manifest.json,outputs/maintenance/lineage-records.json,make validate-maintenance,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0111,Cross-milestone,maintenance,markdown,docs/maintenance/failure-risk-scoring.md,Failure Risk Scoring,Tracked portfolio evidence for maintenance.,,630,48bcef371723dc7abac07b00e7b1f4a7a20d3c4a96834ea3d94f4200a2c30750,outputs/maintenance/maintenance-manifest.json,outputs/maintenance/lineage-records.json,make validate-maintenance,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0112,Cross-milestone,maintenance,markdown,docs/maintenance/governed-inputs-and-grains.md,Governed Inputs And Grains,Tracked portfolio evidence for maintenance.,,1026,d7bacedd50a4e2bb7b902f6731213eb87a80cfaaa63b6bd56f16700220f3f15b,outputs/maintenance/maintenance-manifest.json,outputs/maintenance/lineage-records.json,make validate-maintenance,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0113,Cross-milestone,maintenance,markdown,docs/maintenance/limitations.md,Limitations,Tracked portfolio evidence for maintenance.,,669,5375068c2091b9b6ec9c4a7aadc87d7c8cd0292f6f0f176583eb6065170abf54,outputs/maintenance/maintenance-manifest.json,outputs/maintenance/lineage-records.json,make validate-maintenance,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0114,Cross-milestone,maintenance,markdown,docs/maintenance/maintenance-alerts.md,Maintenance Alerts,Tracked portfolio evidence for maintenance.,,852,8968bf510da33f260e0cd6568b03b0a576758176b2bec5cb0cf2e2ce777ca030,outputs/maintenance/maintenance-manifest.json,outputs/maintenance/lineage-records.json,make validate-maintenance,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0115,Cross-milestone,maintenance,markdown,docs/maintenance/maintenance-lineage-and-manifest.md,Maintenance Lineage And Manifest,Tracked portfolio evidence for maintenance.,,809,d170a3ae3f47c6a629e97d1d568e781afb26c8588e58f0a5a966d55838f7ca46,outputs/maintenance/maintenance-manifest.json,outputs/maintenance/lineage-records.json,make validate-maintenance,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0116,Cross-milestone,maintenance,markdown,docs/maintenance/predictive-maintenance-design.md,Predictive Maintenance Design,Tracked portfolio evidence for maintenance.,,913,14afc5e7098a5fd21bf163adf4b4e53f7e914eed256e84bd3839d6f544699a3d,outputs/maintenance/maintenance-manifest.json,outputs/maintenance/lineage-records.json,make validate-maintenance,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0117,Cross-milestone,maintenance,markdown,docs/maintenance/sensor-threshold-analysis.md,Sensor Threshold Analysis,Tracked portfolio evidence for maintenance.,,674,4519ec57dda98662eebc21cf4fb2712d0314dbd4404b79fc6b3b03e823de719e,outputs/maintenance/maintenance-manifest.json,outputs/maintenance/lineage-records.json,make validate-maintenance,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0118,Milestone 1,portfolio,markdown,docs/milestones/milestone-1.md,Milestone 1,Tracked portfolio evidence for portfolio.,,5103,2e28fcff9af9f703eba14700ba983d3096b619bd318a6d2814424b2436aa2b58,data/raw/generation_manifest.json,data/raw/generation_manifest.json,make quality,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0119,Milestone 1,portfolio,markdown,docs/milestones/milestone-10.md,Milestone 10,Tracked portfolio evidence for portfolio.,,2882,0afe538b5ce20317a9359e022f00e4c62bfde19b82b4c3db758e470f0a75a070,data/raw/generation_manifest.json,data/raw/generation_manifest.json,make quality,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0120,Milestone 1,portfolio,markdown,docs/milestones/milestone-11.md,Milestone 11,Tracked portfolio evidence for portfolio.,,3789,230661d6ae40067903d445d7fc6e3a3aa99bec944261ce2a6fdecdf0e30074df,data/raw/generation_manifest.json,data/raw/generation_manifest.json,make quality,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0121,Milestone 1,portfolio,markdown,docs/milestones/milestone-12.md,Milestone 12,Tracked portfolio evidence for portfolio.,,684,d95aa4836af2c5a9f3d330a080200d5710a7d6844cc5c09380eb074a9451734d,data/raw/generation_manifest.json,data/raw/generation_manifest.json,make quality,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0122,Milestone documentation,portfolio,markdown,docs/milestones/milestone-2.md,Milestone 2,Tracked portfolio evidence for portfolio.,,7987,d3edebef14c08b7649cdd08f86d117a1f1b0789d9cd4e6e50e574cecb50fd74d,data/raw/generation_manifest.json,data/raw/generation_manifest.json,make quality,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0123,Milestone documentation,portfolio,markdown,docs/milestones/milestone-3.md,Milestone 3,Tracked portfolio evidence for portfolio.,,2360,64aeaa162250ec8ab6d3fec55711d80d17f291f05da6ec2cf40a1a658fb48ef2,data/raw/generation_manifest.json,data/raw/generation_manifest.json,make quality,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0124,Milestone documentation,portfolio,markdown,docs/milestones/milestone-4.md,Milestone 4,Tracked portfolio evidence for portfolio.,,6698,64f3bfeb519398b627e5cc3440862321d575b278c9de3e26c9dfb80626d19dea,data/raw/generation_manifest.json,data/raw/generation_manifest.json,make quality,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0125,Milestone documentation,portfolio,markdown,docs/milestones/milestone-5.md,Milestone 5,Tracked portfolio evidence for portfolio.,,6618,048915c2015d4592ea4cc13f8d7e81274efd6cf4168a7802a7b414504577087e,data/raw/generation_manifest.json,data/raw/generation_manifest.json,make quality,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0126,Milestone documentation,portfolio,markdown,docs/milestones/milestone-6.md,Milestone 6,Tracked portfolio evidence for portfolio.,,8933,45a404172fc17e04d200f0a7c0a5a14ee5be7cd6b4cb7f4f59b83a00210dfcdd,data/raw/generation_manifest.json,data/raw/generation_manifest.json,make quality,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0127,Milestone documentation,portfolio,markdown,docs/milestones/milestone-7.md,Milestone 7,Tracked portfolio evidence for portfolio.,,4747,17e72df39baaf78b513c1a181b70f3d46dee951b46b5abe78599d198f05459bd,data/raw/generation_manifest.json,data/raw/generation_manifest.json,make quality,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0128,Milestone documentation,portfolio,markdown,docs/milestones/milestone-8.md,Milestone 8,Tracked portfolio evidence for portfolio.,,4134,10ad4b5e5da56553d430ea9d722c9114e68d7a13b9ac040b5bbcc8b4ef992e1c,data/raw/generation_manifest.json,data/raw/generation_manifest.json,make quality,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0129,Milestone documentation,portfolio,markdown,docs/milestones/milestone-9.md,Milestone 9,Tracked portfolio evidence for portfolio.,,4366,c0e02cad203845010a88d9e0b5c8741fc31f1ebfe84baefa562a71f3960002f5,data/raw/generation_manifest.json,data/raw/generation_manifest.json,make quality,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0130,Cross-milestone,monitoring,markdown,docs/monitoring/evidence-integrity-checks.md,Evidence Integrity Checks,Tracked portfolio evidence for monitoring.,,376,42e62c6b58fe6ff35b228f97243ededef31b3570c534c42f5407071bbbaeb909,outputs/monitoring/monitoring-manifest.json,outputs/monitoring/lineage-records.json,make validate-monitoring,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
EVID-0131,Cross-milestone,monitoring,markdown,docs/monitoring/governed-evidence-inputs.md,Governed Evidence Inputs,Tracked portfolio evidence for monitoring.,,753,cb862f11b2c7a1ee22cc261aaca5a8e62d5be0ffb2987470a20dba41101e8382,outputs/monitoring/monitoring-manifest.json,outputs/monitoring/lineage-records.json,make validate-monitoring,Demonstrates completed local-first milestone evidence.,Use as concrete proof of reproducible implementation.,synthetic_portfolio_sample,local_reference_only
