dataset_id,dataset_name,relative_path,data_zone,format,row_count,grain,key_fields,domain,validation_status,source_manifest,synthetic_data_flag,limitations
DATA-0128,model_and_analytics_monitoring,outputs/monitoring/model_and_analytics_monitoring.csv,curated_output,csv,4.0,one row per record in file,relative_path,monitoring,validated,outputs/monitoring/monitoring-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0129,monitoring-manifest,outputs/monitoring/monitoring-manifest.json,curated_output,json,,document,relative_path,monitoring,validated,outputs/monitoring/monitoring-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0130,monitoring_alerts,outputs/monitoring/monitoring_alerts.csv,curated_output,csv,1.0,one row per record in file,relative_path,monitoring,validated,outputs/monitoring/monitoring-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0131,monitoring_diagnostics,outputs/monitoring/monitoring_diagnostics.json,curated_output,json,,document,relative_path,monitoring,validated,outputs/monitoring/monitoring-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0132,pipeline_health,outputs/monitoring/pipeline_health.csv,curated_output,csv,6.0,one row per record in file,relative_path,monitoring,validated,outputs/monitoring/monitoring-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0133,platform_health_summary,outputs/monitoring/platform_health_summary.json,curated_output,json,,document,relative_path,monitoring,validated,outputs/monitoring/monitoring-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0134,platform_health_summary,outputs/platform_health_summary.json,curated_output,json,,document,relative_path,portfolio,validated,data/raw/generation_manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0135,anomaly_scores,outputs/quality/anomaly_scores.csv,curated_output,csv,168.0,one row per record in file,relative_path,quality,validated,outputs/quality/quality-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0136,control_chart_points,outputs/quality/control_chart_points.csv,curated_output,csv,168.0,one row per record in file,relative_path,quality,validated,outputs/quality/quality-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0137,defect_pareto,outputs/quality/defect_pareto.csv,curated_output,csv,51.0,one row per record in file,relative_path,quality,validated,outputs/quality/quality-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0138,lineage-records,outputs/quality/lineage-records.json,curated_output,json,,document,relative_path,quality,validated,outputs/quality/quality-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0139,process_capability,outputs/quality/process_capability.csv,curated_output,csv,48.0,one row per record in file,relative_path,quality,validated,outputs/quality/quality-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0140,quality-manifest,outputs/quality/quality-manifest.json,curated_output,json,,document,relative_path,quality,validated,outputs/quality/quality-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0141,quality_alerts,outputs/quality/quality_alerts.csv,curated_output,csv,38.0,one row per record in file,relative_path,quality,validated,outputs/quality/quality-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0142,quality_diagnostics,outputs/quality/quality_diagnostics.json,curated_output,json,,document,relative_path,quality,validated,outputs/quality/quality-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0143,quality_kpis,outputs/quality/quality_kpis.csv,curated_output,csv,27.0,one row per record in file,relative_path,quality,validated,outputs/quality/quality-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0144,quality_observations,outputs/quality/quality_observations.csv,curated_output,csv,168.0,one row per record in file,relative_path,quality,validated,outputs/quality/quality-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0145,quality_risk_summary,outputs/quality/quality_risk_summary.csv,curated_output,csv,4.0,one row per record in file,relative_path,quality,validated,outputs/quality/quality-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0146,spc_signals,outputs/quality/spc_signals.csv,curated_output,csv,168.0,one row per record in file,relative_path,quality,validated,outputs/quality/quality-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
DATA-0147,quality_alerts,outputs/quality_alerts.csv,curated_output,csv,38.0,one row per record in file,relative_path,quality,validated,outputs/quality/quality-manifest.json,synthetic_portfolio_sample,Synthetic local portfolio evidence.
